日期,在线人数,新进入人数,付费人数,流水(元),停留时长(分钟)
2026-07-29,3809,914,74,1618.8,21.8
2026-07-30,2724,1492,196,5612.3,28.0
2026-07-31,2595,830,71,1477.97,28.2
2026-08-01,3694,1003,130,4229.31,25.1
2026-08-02,3479,1403,139,5105.82,30.9
2026-08-03,2901,1232,127,2398.65,34.3
2026-08-04,3279,904,78,1358.6,32.4
2026-08-05,3841,1070,146,4853.52,27.1
2026-08-06,3395,880,104,3716.45,28.5
2026-08-07,3375,1391,130,2176.05,29.2
2026-08-08,3242,881,123,4509.44,24.5
2026-08-09,3593,1450,200,3813.27,24.0
2026-08-10,4052,1073,138,4428.24,19.2
2026-08-11,3995,975,114,2407.71,25.9
2026-08-12,3262,1455,186,3811.21,23.5
2026-08-13,2839,1034,142,4987.91,24.8
2026-08-14,2875,1016,146,4260.21,30.2
2026-08-15,3190,1471,169,6272.79,28.9
2026-08-16,3062,1071,96,3227.97,27.2
2026-08-17,3982,1238,176,4397.36,21.7
2026-08-18,3083,1321,151,5118.08,32.6
2026-08-19,3128,1442,131,4193.58,28.1
2026-08-20,3618,1190,144,3844.98,22.3
2026-08-21,3978,811,103,1839.97,33.0
2026-08-22,3406,1456,151,3372.96,20.7
2026-08-23,2881,1069,158,5379.75,26.6
2026-08-24,3107,1440,145,4491.19,28.4
2026-08-25,3218,1182,157,4472.06,31.2
2026-08-26,4006,800,97,2639.87,19.9
2026-08-27,3678,1114,107,2249.33,27.6
